지역,분기,길단위 유동인구,주거 인구,직장 인구
 서울시 전체,1분기,"37,002",159,79
 종로구,1분기,"19,869",63,99
 중구,1분기,"44,917",126,336
 용산구,1분기,"25,994",108,83
 성동구,1분기,"39,264",177,49
 광진구,1분기,"51,931",196,46
 동대문구,1분기,"66,321",236,55
 중랑구,1분기,"53,803",216,22
 성북구,1분기,"43,694",177,45
 강북구,1분기,"35,922",130,12
 도봉구,1분기,"30,224",156,17
 노원구,1분기,"26,530",147,16
 은평구,1분기,"38,383",154,16
 서대문구,1분기,"51,787",180,38
 마포구,1분기,"42,596",151,58
 양천구,1분기,"46,723",254,78
 강서구,1분기,"27,698",135,35
 구로구,1분기,"36,546",200,70
 금천구,1분기,"31,043",183,100
 영등포구,1분기,"44,698",176,185
 동작구,1분기,"48,107",224,44
 관악구,1분기,"42,961",166,25
 서초구,1분기,"19,773",89,121
 강남구,1분기,"34,420",141,293
 송파구,1분기,"36,535",199,119
 강동구,1분기,"43,755",180,29
 서울시 전체,2분기,"36,677",159,79
 종로구,2분기,"20,336",63,99
 중구,2분기,"46,200",126,336
 용산구,2분기,"26,061",108,83
 성동구,2분기,"39,606",177,49
 광진구,2분기,"51,147",196,46
 동대문구,2분기,"66,218",236,55
 중랑구,2분기,"52,277",216,22
 성북구,2분기,"43,142",177,45
 강북구,2분기,"35,000",130,12
 도봉구,2분기,"29,551",156,17
 노원구,2분기,"26,115",147,16
 은평구,2분기,"37,395",154,16
 서대문구,2분기,"52,116",180,38
 마포구,2분기,"42,875",151,58
 양천구,2분기,"45,931",254,78
 강서구,2분기,"26,772",135,35
 구로구,2분기,"35,917",200,70
 금천구,2분기,"30,590",183,100
 영등포구,2분기,"44,506",176,185
 동작구,2분기,"47,247",224,44
 관악구,2분기,"42,269",166,25
 서초구,2분기,"19,914",89,121
 강남구,2분기,"34,963",141,293
 송파구,2분기,"36,091",199,119
 강동구,2분기,"43,656",180,29
 서울시 전체,3분기,"36,086",159,79
 종로구,3분기,"19,549",63,99
 중구,3분기,"43,482",126,336
 용산구,3분기,"25,567",108,83
 성동구,3분기,"38,825",177,49
 광진구,3분기,"50,190",196,46
 동대문구,3분기,"64,899",236,55
 중랑구,3분기,"51,686",216,22
 성북구,3분기,"42,128",177,45
 강북구,3분기,"35,103",130,12
 도봉구,3분기,"29,170",156,17
 노원구,3분기,"25,642",147,16
 은평구,3분기,"37,436",154,16
 서대문구,3분기,"50,812",180,38
 마포구,3분기,"41,682",151,58
 양천구,3분기,"45,722",254,78
 강서구,3분기,"26,255",135,35
 구로구,3분기,"35,458",200,70
 금천구,3분기,"30,473",183,100
 영등포구,3분기,"43,976",176,185
 동작구,3분기,"46,377",224,44
 관악구,3분기,"41,769",166,25
 서초구,3분기,"19,524",89,121
 강남구,3분기,"33,489",141,293
 송파구,3분기,"35,795",199,119
 강동구,3분기,"44,374",180,29
 서울시 전체,4분기,"36,238",159,79
 종로구,4분기,"20,357",63,99
 중구,4분기,"45,521",126,336
 용산구,4분기,"26,106",108,83
 성동구,4분기,"39,027",177,49
 광진구,4분기,"50,823",196,46
 동대문구,4분기,"66,054",236,55
 중랑구,4분기,"51,360",216,22
 성북구,4분기,"42,405",177,45
 강북구,4분기,"34,563",130,12
 도봉구,4분기,"28,760",156,17
 노원구,4분기,"25,559",147,16
 은평구,4분기,"37,242",154,16
 서대문구,4분기,"52,339",180,38
 마포구,4분기,"41,964",151,58
 양천구,4분기,"45,316",254,78
 강서구,4분기,"25,879",135,35
 구로구,4분기,"35,457",200,70
 금천구,4분기,"30,469",183,100
 영등포구,4분기,"44,579",176,185
 동작구,4분기,"46,113",224,44
 관악구,4분기,"41,614",166,25
 서초구,4분기,"19,960",89,121
 강남구,4분기,"34,124",141,293
 송파구,4분기,"35,691",199,119
 강동구,4분기,"43,748",180,29
